instanceID,prob
1,0.4
2,0.0
3,0.1
4,0.1
5,0.1
6,0.0
7,0.0
8,0.1
9,0.1
10,0.2
11,0.3
12,0.1
13,0.1
14,0.0
15,0.1
16,0.1
17,0.1
18,0.0
19,0.0
20,0.0
21,0.1
22,0.1
23,0.1
24,0.1
25,0.1
26,0.2
27,0.0
28,0.0
29,0.0
30,0.1
31,0.1
32,0.0
33,0.0
34,0.0
35,0.0
36,0.2
37,0.0
38,0.0
39,0.0
40,0.0
41,0.1
42,0.3
43,0.2
44,0.0
45,0.0
46,0.1
47,0.1
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.1
56,0.0
57,0.0
58,0.0
59,0.0
60,0.1
61,0.0
62,0.0
63,0.1
64,0.1
65,0.0
66,0.0
67,0.1
68,0.1
69,0.1
70,0.0
71,0.1
72,0.0
73,0.1
74,0.2
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.1
84,0.0
85,0.1
86,0.1
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.2
93,0.1
94,0.1
95,0.1
96,0.0
97,0.0
98,0.0
99,0.1
100,0.2
101,0.0
102,0.0
103,0.1
104,0.2
105,0.2
106,0.1
107,0.1
108,0.1
109,0.0
110,0.0
111,0.1
112,0.1
113,0.1
114,0.0
115,0.1
116,0.0
117,0.1
118,0.0
119,0.3
120,0.0
121,0.1
122,0.0
123,0.1
124,0.2
125,0.1
126,0.1
127,0.2
128,0.1
129,0.0
130,0.1
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.1
138,0.1
139,0.1
140,0.0
141,0.0
142,0.0
143,0.1
144,0.0
145,0.2
146,0.0
147,0.0
148,0.1
149,0.2
150,0.3
151,0.0
152,0.0
153,0.0
154,0.1
155,0.1
156,0.2
157,0.0
158,0.0
159,0.0
160,0.1
161,0.1
162,0.0
163,0.2
164,0.0
165,0.0
166,0.1
167,0.1
168,0.1
169,0.1
170,0.0
171,0.1
172,0.1
173,0.1
174,0.1
175,0.1
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.1
183,0.0
184,0.0
185,0.0
186,0.1
187,0.0
188,0.0
189,0.0
190,0.1
191,0.0
192,0.1
193,0.0
194,0.1
195,0.1
196,0.0
197,0.1
198,0.1
199,0.0
200,0.2
201,0.1
202,0.1
203,0.0
204,0.4
205,0.1
206,0.2
207,0.3
208,0.0
209,0.0
210,0.0
211,0.0
212,0.2
213,0.0
214,0.0
215,0.3
216,0.0
217,0.1
218,0.2
219,0.0
220,0.1
221,0.0
222,0.0
223,0.1
224,0.0
225,0.1
226,0.1
227,0.0
228,0.1
229,0.1
230,0.1
231,0.1
232,0.0
233,0.1
234,0.2
235,0.0
236,0.0
237,0.2
238,0.1
239,0.0
240,0.0
241,0.1
242,0.1
243,0.0
244,0.0
245,0.0
246,0.1
247,0.1
248,0.1
249,0.0
250,0.1
251,0.0
252,0.0
253,0.0
254,0.1
255,0.0
256,0.0
257,0.1
258,0.3
259,0.0
260,0.3
261,0.0
262,0.0
263,0.0
264,0.2
265,0.0
266,0.1
267,0.1
268,0.0
269,0.2
270,0.1
271,0.2
272,0.2
273,0.2
274,0.1
275,0.2
276,0.0
277,0.1
278,0.0
279,0.1
280,0.0
281,0.2
282,0.0
283,0.0
284,0.1
285,0.1
286,0.1
287,0.0
288,0.0
289,0.2
290,0.3
291,0.1
292,0.0
293,0.0
294,0.0
295,0.0
296,0.1
297,0.0
298,0.0
299,0.2
300,0.0
301,0.0
302,0.1
303,0.3
304,0.1
305,0.0
306,0.1
307,0.1
308,0.1
309,0.1
310,0.1
311,0.0
312,0.0
313,0.1
314,0.2
315,0.1
316,0.1
317,0.0
318,0.1
319,0.4
320,0.1
321,0.0
322,0.1
323,0.0
324,0.1
325,0.1
326,0.2
327,0.1
328,0.1
329,0.1
330,0.2
331,0.1
332,0.3
333,0.0
334,0.1
335,0.0
336,0.0
337,0.0
338,0.0
339,0.2
340,0.1
341,0.0
342,0.1
343,0.0
344,0.3
345,0.1
346,0.1
347,0.1
348,0.1
349,0.2
350,0.0
351,0.0
352,0.0
353,0.1
354,0.0
355,0.1
356,0.0
357,0.0
358,0.1
359,0.0
360,0.0
361,0.1
362,0.2
363,0.0
364,0.0
365,0.1
366,0.0
367,0.1
368,0.1
369,0.0
370,0.0
371,0.0
372,0.1
373,0.0
374,0.0
375,0.0
376,0.1
377,0.0
378,0.0
379,0.2
380,0.0
381,0.0
382,0.0
383,0.1
384,0.1
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.3
392,0.1
393,0.1
394,0.1
395,0.2
396,0.0
397,0.0
398,0.0
399,0.1
400,0.0
401,0.0
402,0.1
403,0.2
404,0.0
405,0.1
406,0.0
407,0.0
408,0.0
409,0.0
410,0.1
411,0.0
412,0.2
413,0.1
414,0.1
415,0.1
416,0.0
417,0.0
418,0.0
419,0.0
420,0.2
421,0.0
422,0.0
423,0.0
424,0.0
425,0.1
426,0.0
427,0.1
428,0.1
429,0.1
430,0.1
431,0.0
432,0.0
433,0.2
434,0.0
435,0.1
436,0.2
437,0.1
438,0.1
439,0.2
440,0.0
441,0.1
442,0.0
443,0.2
444,0.1
445,0.0
446,0.0
447,0.0
448,0.1
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.1
460,0.0
461,0.1
462,0.0
463,0.2
464,0.0
465,0.0
466,0.1
467,0.0
468,0.0
469,0.0
470,0.1
471,0.0
472,0.1
473,0.0
474,0.0
475,0.1
476,0.0
477,0.0
478,0.1
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.1
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.1
492,0.1
493,0.2
494,0.1
495,0.0
496,0.0
497,0.0
498,0.1
499,0.1
500,0.2
501,0.0
502,0.1
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.1
511,0.1
512,0.1
513,0.0
514,0.0
515,0.0
516,0.0
517,0.1
518,0.1
519,0.0
520,0.0
521,0.0
522,0.1
523,0.0
524,0.1
525,0.2
526,0.0
527,0.1
528,0.0
529,0.1
530,0.1
531,0.1
532,0.0
533,0.1
534,0.3
535,0.2
536,0.1
537,0.0
538,0.1
539,0.1
540,0.2
541,0.1
542,0.2
543,0.0
544,0.0
545,0.0
546,0.1
547,0.0
548,0.0
549,0.0
550,0.2
551,0.1
552,0.1
553,0.0
554,0.0
555,0.0
556,0.0
557,0.1
558,0.1
559,0.1
560,0.2
561,0.2
562,0.1
563,0.1
564,0.2
565,0.1
566,0.2
567,0.3
568,0.0
569,0.3
570,0.2
571,0.1
572,0.1
573,0.3
574,0.0
575,0.1
576,0.2
577,0.3
578,0.0
579,0.2
580,0.0
581,0.0
582,0.1
583,0.0
584,0.0
585,0.0
586,0.1
587,0.0
588,0.0
589,0.1
590,0.0
591,0.2
592,0.0
593,0.1
594,0.0
595,0.1
596,0.0
597,0.0
598,0.2
599,0.1
600,0.0
601,0.1
602,0.1
603,0.0
604,0.1
605,0.2
606,0.0
607,0.1
608,0.1
609,0.0
610,0.0
611,0.1
612,0.1
613,0.1
614,0.0
615,0.2
616,0.2
617,0.1
618,0.1
619,0.4
620,0.1
621,0.4
622,0.6
623,0.6
624,0.4
625,0.4
626,0.3
627,0.1
628,0.5
629,0.4
630,0.3
631,0.3
632,0.4
633,0.1
634,0.1
635,0.0
636,0.1
637,0.1
638,0.0
639,0.2
640,0.0
641,0.1
642,0.1
643,0.2
644,0.1
645,0.2
646,0.1
647,0.1
648,0.0
649,0.2
650,0.0
651,0.2
652,0.0
653,0.1
654,0.3
655,0.1
656,0.2
657,0.2
658,0.2
659,0.3
660,0.2
661,0.0
662,0.0
663,0.1
664,0.1
665,0.0
666,0.1
667,0.0
668,0.1
669,0.1
670,0.4
671,0.1
672,0.2
673,0.0
674,0.1
675,0.1
676,0.4
677,0.0
678,0.2
679,0.3
680,0.0
681,0.0
682,0.2
